language_no,language_name,stimulus_no,status,causal_marker,sentence,glosses_en,back_translation_en,glosses_ru,back_translation_ru,comments,comments_informal
38,Moksha,13,alternate,n.a.,al'ɛ-t' val-ənzə kɛžja-ft-əz'ə ava-t',woman-DEF.SG.GEN word-3SG.POSS.PL get_angry-PST.3[SG] husband-3SG.POSS.SG.GEN,The husband’s words angered the woman.,женщина-DEF.SG.GEN слово-3SG.POSS.PL злиться-PST.3[SG] муж-3SG.POSS.SG.GEN,Слова мужа разозлили женщину.,,
38,Moksha,14,main,CSL,с'ora-n'a-с t'ɛ-nksə pɛk ken'ɛr'c' ,boy-DIM-3SG.POSS.SG this-CSL very rejoice.PST.3[SG],The boy was very happy because of this.,парень-DIM-3SG.POSS.SG этот-CSL очень радоваться.PST.3[SG],Мальчик этому (из-за этого) очень обрадовался.,,
38,Moksha,14,alternate,mela_ABL,c'ora-n'a-c t'ɛ kor̥ta-ma-də mel'ə pɛk ken'ɛr'tə-s' ,boy-DIM-3SG.POSS.SG this-CSL speak-NZR-ABL after very rejoice.PST.3[SG],The boy was happy because of this conversation.,парень-DIM-3SG.POSS.SG этот-CSL говорить-NZR-ABL после очень радоваться.PST.3[SG],Мальчик обрадовался от этого разговора.,,
38,Moksha,14,alternate,inksa_GEN,c'ora-n'a-c pɛk ken'ɛr'с' tə-s' kor̥ta-ma-t' inksə,boy-DIM-3SG.POSS.SG very rejoice.PST.3[SG] this-CSL speak-NZR-DEF.SG.GEN because_of,The boy was happy because of this conversation.,парень-DIM-3SG.POSS.SG очень радоваться.PST.3[SG] этот-CSL говорить-NZR-DEF.SG.GEN из-за,Мальчик обрадовался из-за этого разговора.,,
38,Moksha,15,main,CSL,al'ɛ-s' slabaj-gəc' vačəši-nksə,man-DEF.SG weak-INCP.PST.3[SG] famine-CSL,The man weakened from hunger.,мужчина-DEF.SG слабый-INCP.PST.3[SG] голод-CSL,Мужчина ослабел от голода.,,
38,Moksha,15,alternate,CSL,al'ɛ-s' slabaj-gəc' vačədə ašč-əma-nksə,man-DEF.SG weak-INCP.PST.3[SG] hungry be-NZR-CSL,The man weakened from hunger.,мужчина-DEF.SG слабый-INCP.PST.3[SG] голодный находиться-NZR-CSL,Мужчина ослабел от голода.,,
38,Moksha,15,alternate,ezda_GEN,al'ɛ-s' slabaj-gəc' vačəši-t' ezdə,man weak-INCP.PST.3[SG] famine-DEF.SG.GEN in.ABL,The man weakened from hunger.,мужчина слабый-INCP.PST.3[SG] голод-DEF.SG.GEN в.ABL,Мужчина ослабел от голода.,,
38,Moksha,16,main,n.a.,al'ɛ-s' kulə-s' vačədə ,man-DEF.SG die-PST.3[SG] hungry,The man died hungry.,мужчина-DEF.SG умереть-PST.3[SG] голодный,Мужчина умер голодный.,"This translation is not included in the database because the causing event is expressed as an adverb, not a nominal phrase.",
38,Moksha,16,alternate,CSL,al'ɛ-s' kulə-s' vačəši-nksə,man-DEF.SG die-PST.3[SG] famine-CLS,The man died from hunger.,мужчина-DEF.SG умереть-PST.3[SG] голод-CLS,Мужчина умер от голода.,,
38,Moksha,17,main,ezda_GEN,al'ɛ-s' ivad'-i mar'ɛj-t' ezdə,man-DEF.SG scream-NPST.3[SG] pain-DEF.SG.GEN in.ABL,The man is screaming from pain.,мужчина-DEF.SG кричать-NPST.3[SG] боль-DEF.SG.GEN в.ABL,Мужчина кричит от боли.,,
38,Moksha,17,alternate,inksa_GEN,al'ɛ-s' ivad'-i mar'ɛj-t' inksə ,man-DEF.SG scream-NPST.3[SG] pain-DEF.SG.GEN because_of,The man is screaming from pain.,мужчина-DEF.SG кричать-NPST.3[SG] боль-DEF.SG.GEN из-за,Мужчина кричит от боли.,,
38,Moksha,18,main,ezda_GEN,ava-s' kalg-i jakšam-t' ezdə,woman-DEF.SG shake-NPST.3[SG] cold-DEF.SG.GEN in.ABL,The woman is trembling from the cold.,женщина-DEF.SG трястись-NPST.3[SG] холод-DEF.SG.GEN в.ABL,Женщина дрожит от холода.,,
38,Moksha,18,alternate,inksa_GEN,ava-s' kalg-i jakšam-t' inksə,woman-DEF.SG shake-NPST.3[SG] cold-DEF.SG.GEN because_of,The woman is trembling from the cold.,женщина-DEF.SG трястись-NPST.3[SG] холод-DEF.SG.GEN из-за,Женщина дрожит от холода.,,
38,Moksha,18,alternate,EL,ava-s' kalg-i jakšam-stə,woman-DEF.SG shake-NPST.3[SG] cold-EL,The woman is trembling in the cold.,женщина-DEF.SG трястись-NPST.3[SG] холод-EL,Женщина дрожит в холоде.,,
38,Moksha,18,alternate,CSL,jakšam-ənksə ava-s' af mol-i kov-gə,cold-CLS woman-DEF.SG woman-DEF.SG go-NPST.3[SG] where-ADD,"In the cold, the woman won’t go anywhere.",холод-CLS женщина-DEF.SG NEG идти-NPST.3[SG] куда-ADD,В холод женщина никуда не пойдет.,,
38,Moksha,19,main,ezda_GEN,ic' avar'-gəc' stras't'-t' ezdə,child.DEF.SG cry-INCP.PST.3[SG] fear.DEF.SG.GEN in.ABL,The child cried from fear.,ребенок.DEF.SG плакать-INCP.PST.3[SG] страх.DEF.SG.GEN в.ABL,Ребенок заплакал от страха.,,
38,Moksha,19,alternate,CSL,ɛvəd'-əma-nksə it' avar'c' ,be_scared-NZR-CSL child cry.PST.3[SG],"Because of fright, the child cried.",испугаться-NZR-CSL ребенок плакать.PST.3[SG],Из-за испуга ребенок плакал.,,
38,Moksha,19,alternate,DAT,ɛvad'-əma-ti it' avar'd'-i ,frighten-NZR-DEF.SG.DAT child cry-NPST.3[SG],"Because of fright, the child cried.",испугаться-NZR-DEF.SG.DAT ребенок плакать-NPST.3[SG],Из-за испуга ребенок плакал.,,
38,Moksha,19,alternate,n.a.,stras't'-s' avar'-ft-əz'ə it'-t' ,fear-DEF.SG cry-CAUS-PST.3SG.O.3SG.S child-DEF.SG.GEN,Fear made the child cry.,страх-DEF.SG плакать-CAUS-PST.3SG.O.3SG.S ребенок-DEF.SG.GEN,Страх заставил ребенка заплакать.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,20,main,ezda_GEN,it'-n'ɛ-s' raka-z'əv-s' ken'ɛr'd'-əma-t' ezdə,child-DIM-DEF.SG laugh-INCH-PST.3[SG] rejoice-NZR-DEF.SG.GEN in.ABL,The child laughed from joy.,ребенок-DIM-DEF.SG смеяться-INCH-PST.3[SG] радоваться-NZR-DEF.SG.GEN в.ABL,Ребенок рассмеялся от радости.,,
38,Moksha,20,alternate,CSL,it'-n'ɛ-s' raka-z'əv-s' ken'ɛr'd'-əma-nksə,child-DIM-DEF.SG laugh-INCH-PST.3[SG] rejoice-NZR-CSL,The child laughed from joy.,ребенок-DIM-DEF.SG смеяться-INCH-PST.3[SG] радоваться-NZR-CSL,Ребенок рассмеялся от радости.,,
38,Moksha,20,alternate,n.a.,ken'ɛr'd'-əma-s' raka-ft-əz'ə it'-t' ,rejoice-NZR-DEF.SG laugh-CAUS-PST.3SG.O.3SG.S child-DEF.SG.GEN,Joy makes the child laugh.,радоваться-NZR-DEF.SG смеяться-CAUS-PST.3SG.O.3SG.S ребенок-DEF.SG.GEN,Радость заставляет ребенка смеяться.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,21,main,ezda_GEN,ic' stras't'-t' ezdə kɛš-s' latal-u ,child fear-DEF.SG.GEN in.ABL hide-NPST.3[SG] hostess-LAT,The child hid in the barn out of fear.,"ребенок страх-DEF.SG.GEN в.ABL прятать-NPST.3[SG] 
farm_building-LAT",Ребенок от страха спрятался в сарае.,,
38,Moksha,22,main,csl,al'ɛ-s' istəvajši-nksə mez'-gə iz' kor̥tə,man-DEF.SG smart-CSL what-ADD what-ADD speak.CN,"The man said nothing out of ""correctness.""",мужчина-DEF.SG умный-CSL что-ADD NEG.PST.3[SG] говорить.CN,"Мужчина ничего не сказал из ""правильности"".",,
38,Moksha,23,main,ezda_GEN,ava-s' stras't'-t' ezdə fat'ɛ-z'ə brad-ənc kɛc'tə,woman-DEF.SG fear-DEF.SG.GEN in.ABL grab-PST.3SG.O.3SG.S brother-3SG.POSS.SG.GEN hand.EL,The woman grabbed her brother’s hand in fear.,женщина-DEF.SG страх-DEF.SG.GEN в.ABL схватить-PST.3SG.O.3SG.S брат-3SG.POSS.SG.GEN рука.EL,Женщина в страхе схватила руку брата.,,
38,Moksha,23,alternate,inksa_GEN,ava-s' stras't'-t' inksə fat'ɛ-z'ə brad-ənc kɛc'tə,woman-DEF.SG fear-DEF.SG.GEN because_of grab-PST.3SG.O.3SG.S brother-3SG.POSS.SG.GEN hand.EL,The woman grabbed her brother’s hand in fear.,женщина-DEF.SG страх-DEF.SG.GEN из-за схватить-PST.3SG.O.3SG.S брат-3SG.POSS.SG.GEN рука.EL,Женщина в страхе схватила руку брата.,,
38,Moksha,24,main,ezda_GEN,ava-s' siz'ə-s' rabota-t' ezdə ,woman-DEF.SG get_tired-PST.3[SG] work-DEF.SG.GEN in.ABL,The woman is tired from work.,женищина-DEF.SG устать-PST.3[SG] работать-DEF.SG.GEN в.ABL,Женщина устала от работы.,,
38,Moksha,24,alternate,inksa_GEN,ava-s' siz'ə-s' rabota-t' inksə,woman-DEF.SG get_tired-PST.3[SG] work-DEF.SG.GEN because_of,The woman is tired from work.,женищина-DEF.SG устать-PST.3[SG] работать-DEF.SG.GEN из-за,Женщина устала от работы.,,
38,Moksha,24,alternate,n.a.,ava-s' siz'ə-s' rabata-m-stə,woman-DEF.SG get_tired-PST.3[SG] work-INF-EL,The woman got tired while working.,женищина-DEF.SG устать-PST.3[SG] работать-INF-EL,"Женщина устала, работая.","This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.",
38,Moksha,24,alternate,CSL,ava-s' siz'ə-s' rabatama-nksə,woman-DEF.SG.GEN get_tired-PST.3[SG] work-NZR-CSL,The woman is tired from work.,женщина-DEF.SG.GEN устать-PST.3[SG] работать-NZR-CSL,Женщина устала от работы.,,
38,Moksha,25,main,inksa_GEN,avas' af matəd-əv-I s'ɛs'kə-n'ə-n' inksə,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-DEF.PL-GEN because_of,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-DEF.PL-GEN из-за,Женщина не может заснуть из-за комаров.,,
38,Moksha,25,alternate,ezda_GEN,avas' af matəd-əv-I s'ɛs'kə-n'ə-n' ezdə ,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-DEF.PL-GEN in.ABL,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-DEF.PL-GEN в.ABL,Женщина не может заснуть из-за комаров.,,
38,Moksha,25,alternate,CSL,avas' af matəd-əv-I s'ɛs'kə-nksə ,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-CLS,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-CLS,Женщина не может заснуть из-за комаров.,,
38,Moksha,25,alternate,DAT,avas' af matəd-əv-i s'ɛs'kə-n'd'i,woman-DEF.SG woman-DEF.SG fall_asleep-PASS-NPST.3[SG] mosquito-PL.DAT,The woman can’t sleep because of the mosquitoes.,женщина-DEF.SG NEG уснуть-PASS-NPST.3[SG] комар-PL.DAT,Женщина не может заснуть из-за комаров.,,
38,Moksha,26,main,inksa_GEN,vec' n'ɛj-ev-i valctə kof-t' inksə ,water.DEF.SG see-PASS-NPST.3[SG] light.EL month-DEF.SG.GEN because_of,The water appears bright because of the moon.,вода.DEF.SG видеть-PASS-NPST.3[SG] светлый.EL месяц-DEF.SG.GEN из-за,Вода кажется светлой из-за луны.,,
38,Moksha,27,main,inksa_GEN,al'ɛ-s' udačnaj jaka-s' oxota-s pin'ə-nc inksə,man-DEF.SG successful walk-PST.3[SG] hunting-ILL dog-3SG.POSS.SG.GEN because_of,The man went hunting successfully because of the dog.,мужчина-DEF.SG удачный ходить-PST.3[SG] охота-ILL собака-3SG.POSS.SG.GEN из-за,Мужчина удачно сходил на охоту из-за собаки.,,
38,Moksha,28,main,langs_GEN,ava-s' kɛžijɛ-s' mər'd'-ənc langs ,woman-DEF.SG be_angry-PST.3[SG] husband-3SG.POSS.SG.GEN top-ILL,The wife got angry at her husband.,женщина-DEF.SG сердиться-PST.3[SG] муж-3SG.POSS.SG.GEN верх-ILL,Жена рассердилась на мужа.,,
38,Moksha,29,main,inksa_GEN,ava-s' pozdanda-z'ə rabota-mə mər'd'-ənc inksə ,woman-DEF.SG late-PST.3SG.O.3SG.S work-INF husband-3SG.POSS.SG.GEN because_of,The woman was late for work because of her husband.,женщина-DEF.SG опоздать-PST.3SG.O.3SG.S работать-INF муж-3SG.POSS.SG.GEN из-за,Женщина опоздала на работу из-за мужа.,,
38,Moksha,30,main,inksa_GEN,lomat'-t'n'ə kulə-s'-t' moda-t' šer̥'k-əma-nc inksə ,human-DEF.PL die-PST.3-PL earth-DEF.SG.GEN shake-NZR-3SG.POSS.SG.GEN because_of,People died because of the earthquake.,человек-DEF.PL умереть-PST.3-PL земля-DEF.SG.GEN трясти-NZR-3SG.POSS.SG.GEN из-за,Люди погибли из-за землетрясения.,,
38,Moksha,30,alternate,CSL,lomat'-t'n'ə kulə-s'-t' moda-t' žer'k-əma-nsə,human-DEF.PL die-PST.3-PL earth-DEF.SG.GEN shake-NZR-CSL,People died because of the earthquake.,человек-DEF.PL умереть-PST.3-PL земля-DEF.SG.GEN трясти-NZR-CSL,Люди погибли из-за землетрясения.,,
38,Moksha,30,alternate,n.a.,moda-n' žer̥'k-əma-s' kulə-ft-əz'n'ə loma-t'n'ə-n' ,earth-GEN shake-NZR-DEF.SG die-CAUS-PST.3PL.O.3SG.S human-DEF.PL-GEN,The earthquake led to people’s deaths.,земля-GEN трясти-NZR-DEF.SG умереть-CAUS-PST.3PL.O.3SG.S человек-DEF.PL-GEN,Землетрясение привело к гибели людей.,This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.,
38,Moksha,31,main,ezda_GEN,s'embə beda-t'n'ə lomat'-n'ə-n' ezdə,all trouble-DEF.PL human-DEF.PL-GEN in.ABL,All troubles happen because of humans.,все беда-DEF.PL человек-DEF.PL-GEN в.ABL,Все беды происходят из-за человека.,,
38,Moksha,32,main,ezda_GEN,operacija-t' ezdə al'ɛ-s' osnava-s' lac n'ɛj-əmə,surgery-DEF.SG.GEN in.ABL man-DEF.SG begin-PST.3[SG] fine see-INF,The man’s vision improved thanks to the surgery.,операция-DEF.SG.GEN в.ABL мужчина-DEF.SG начать-PST.3[SG] хорошо видеть-INF,Мужчина стал лучше видеть благодаря операции.,,
