sentence_no	sentence_en	sentence_ru	type	objective_subjective	direct_indirect	internal_external	taxis
39	The woman went inside <out of> [curiosity].	Женщина зашла внутрь <из> [любопытства].	ontological	subjective	direct	internal	simultaneous
40	The man killed his wife <out of> [jealousy].	Мужчина убил жену <из> [ревности].	ontological	subjective	direct	internal	simultaneous
41	The man told everyone about it <out of> [vanity].	Мужчина всем об этом рассказал <из> [тщеславия].	ontological	subjective	direct	internal	simultaneous
42	The woman broke all the dishes <out of> [anger].	Женщина разбила всю посуду <от> [злости].	ontological	subjective	direct	internal	simultaneous
43	The woman went to sleep clothed <because of> [the cold]. {Her furnace was broken}.	Женщина легла спать одетой <из-за> [холода][4] {у нее сломалась печка}.	ontological	subjective	indirect	external	simultaneous
44	The teacher commended the student <for> [his suit].	Учитель похвалил ученика <за> [его костюм].	ontological	subjective	indirect	external	n.a.
45	The man killed his neighbor <because of> [his words].	Мужчина побил соседа <за> [его слова].	ontological	subjective	indirect	external	anterior
46	The children fought <over> [the ball].	Дети подрались <из-за> [мяча].	ontological	subjective	indirect	external	n.a.
47	The man argued with his brother <over> [the inheritance].	Мужчина поссорился с братом <из-за> [наследства].	ontological	subjective	indirect	external	n.a.
48	The woman bought the book <because of> [the pictures].	Женщина купила эту книгу <из-за> [рисунков].	ontological	subjective	indirect	external	simultaneous
49	The woman canceled plans with her friend <because of> [her bad mood].	Женщина не стала встречаться с подругой <из-за> [плохого настроения].	ontological	subjective	indirect	internal	simultaneous
50	<Judging by> [the puddles], it rained last night.	<Судя по> [лужам], ночью шел дождь.	epistemic	n.a.	n.a.	n.a.	n.a.
51	<Judging by> [the bubbles], the water is boiling.	<Судя по> [пузырькам], вода уже закипела.	epistemic	n.a.	n.a.	n.a.	n.a.
52	Come into the house, <?> [the cold].	Заходи в дом <?> [холод].[1]	illocutive	n.a.	n.a.	n.a.	n.a.
53	Where is my sweater <?> [the cold].	Где мой свитер <?> [холод]?	illocutive	n.a.	n.a.	n.a.	n.a.
54	<Per> [mathematical law], this number cannot be less than one.	Это число не может быть меньше единицы <в силу> [математических законов].	logical	n.a.	n.a.	n.a.	n.a.
