language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments
10	Belarusian	6	alternate	z-za_GEN	drèv-a ŭpa-l-a z-za vetr-u	tree-NOM.SG fall-PST-SG.N PREP wind-GEN.SG	The tree fell because of the wind.	дерево-NOM.SG упасть-PST-SG.N PREP ветер-GEN.SG	Дерево упало из-за ветра.	
10	Belarusian	6	alternate	praz_ACC	drèv-a ŭpa-l-a praz vecer	tree-NOM.SG fall-PST-SG.N PREP wind[ACC.SG]	The tree fell because of the wind.	дерево-NOM.SG упасть-PST-SG.N PREP ветер[ACC.SG]	Дерево упало из-за ветра.	
10	Belarusian	7	main	ad_GEN	mužčyn-a zaginu-ŭ ad udar-u tok-u	man-NOM.SG die-PST[SG.M] PREP kick-GEN.SG electricity-GEN.SG	The man died from the electric shock.	мужчина-NOM.SG погибнуть-PST[SG.M] PREP удар-GEN.SG ток-GEN.SG	Мужчина умер от удара тока.	
10	Belarusian	8	main	ad_GEN	žančyn-a pračnu-l-a-sja ad šum-u	woman-NOM.SG  wake_up-PST-SG.F-REFL PREP noise-GEN.SG	The woman woke up from the noise.	женщина-NOM.SG  проснуться-PST-SG.F-REFL PREP шум-GEN.SG	Женщина проснулась от шума.	
10	Belarusian	8	alternate	z-za_GEN	žančyn-a pračnu-l-a-sja z-za šum-u	woman-NOM.SG  wake_up-PST-SG.F-REFL PREP noise-GEN.SG	The woman woke up from the noise.	женщина-NOM.SG  проснуться-PST-SG.F-REFL PREP шум-GEN.SG	Женщина проснулась от шума.	
10	Belarusian	8	alternate	praz_ACC	žančyn-a pračnu-l-a-sja praz šum	woman-NOM.SG  wake_up-PST-SG.F-REFL PREP noise[ACC.SG]	The woman woke up from the noise.	женщина-NOM.SG  проснуться-PST-SG.F-REFL PREP шум[ACC.SG]	Женщина проснулась от шума.	
10	Belarusian	9	main	ad_GEN	u mužčyn-y ad piv-a bali-c' galav-a	PREP man-GEN.SG PREP beer-GEN.SG hurt-PRS.3SG head-NOM.SG 	A man's head hurts from the beer.	PREP мужчина-GEN.SG PREP пиво-GEN.SG болеть-PRS.3SG голова-NOM.SG 	У мужчины болит голова от пива.	
10	Belarusian	10	main	z_GEN	žančyn-a rassmjaja-l-a-sja sa ščanjuk-a	woman-NOM.SG laugh-PST-SG.F-REFL PREP puppy-GEN.SG	The woman laughed at the puppy.	женщина-NOM.SG рассмеяться-PST-SG.F-REFL PREP щенок-GEN.SG	У мужчины болит голова от пива.	
10	Belarusian	11	main	ad_GEN	mužčyn-a pamёr ad atrutn-aj ryb-y	man-NOM.SG die[PST.SG.M] PREP poisonous-GEN.SG.F fish-GEN.SG	The man died from a poisonous fish.	мужчина-NOM.SG умереть[PST.SG.M] PREP ядовитый-GEN.SG.F рыба-GEN.SG	Мужчина умер от ядовитой рыбы.	
10	Belarusian	12	main	INS	dzjaŭčynk-a zadavolen-aja sva-ёj adznak-aj	girl-NOM.SG satisfied-NOM.SG.F her-INS.SG.F mark-INS.SG	The girl is satisfied with the gift.	девочка-NOM.SG довольный-NOM.SG.F свой-INS.SG.F оценка-INS.SG	Девочка довольна своей оценкой.	
10	Belarusian	13	main	na_ACC	žonk-a razzlava-l-a-sja na slov-y muž-a	wife-NOM.SG get_angry-PST-SG.F-REFL PREP word-ACC.PL husband-GEN.SG	The wife was angry because of her husband’s words.	жена-NOM.SG рассердиться-PST-SG.F-REFL PREP слово-ACC.PL муж-GEN.SG	Женщина разозлилась на слова мужа.	
10	Belarusian	13	alternate	z-za_GEN	žonk-a razzlava-l-a-sja z-za sloŭ muž-a	wife-NOM.SG get_angry-PST-SG.F-REFL PREP word[GEN.PL] husband-GEN.SG	The wife was angry because of her husband’s words.	жена-NOM.SG рассердиться-PST-SG.F-REFL PREP слово[GEN.PL] муж-GEN.SG	Женщина разозлилась на слова мужа.	
10	Belarusian	13	alternate	praz_ACC	žonk-a razzlava-l-a-sja praz slov-y muž-a	wife-NOM.SG get_angry-PST-SG.F-REFL PREP word-ACC.PL husband-GEN.SG	The wife was angry because of her husband’s words.	жена-NOM.SG рассердиться-PST-SG.F-REFL PREP слово-ACC.PL муж-GEN.SG	Женщина разозлилась на слова мужа.	
10	Belarusian	14	main	ad_GEN	xlopčyk u zaxaplenn-i ad gèt-aj idè-i	boy[NOM.SG] PREP excitement-LOC.SG PREP this-GEN.SG.F idea-GEN.SG	The boy was trilled by his fathers words.	мальчик[NOM.SG] PREP восторг-LOC.SG PREP этот-GEN.SG.F  идея-GEN.SG	Мальчик в восторге от этой идеи.	
10	Belarusian	15	main	ad_GEN	mužčyn-a aslabe-ŭ ad golad-u	man-NOM.SG get_weaker-PST[SG.M] PREP hunger-GEN.SG	The man felt bad bacause of starvation.	мужчина-NOM.SG ослабеть-PST[SG.M] PREP голод-GEN.SG	Мужчине ослабел от голода.	
10	Belarusian	16	main	ad_GEN	mužčyn-a pamёr ad golad-u	man-NOM.SG die[PST.SG.M] PREP hunger-GEN.SG	The man felt bad bacause of starvation.	мужчина-NOM.SG умереть[PST.SG.M] PREP голод-GEN.SG	Мужчина умер от голода.	
10	Belarusian	17	main	ad_GEN	mužčyn-a kryčy-c' ad bol-ju	man-NOM.SG scream-PRS.3SG PREP pain-GEN.SG	The man screamed from the pain.	мужчина-NOM.SG кричать-PRS.3SG PREP  боль-GEN.SG	Мужчина кричит от боли.	
10	Belarusian	18	main	ad_GEN	žančyn-a dryžy-c' ad xolad-u	woman-NOM.SG shiver-PRS.3SG PREP cold-GEN.SG	The woman is shivering from the cold.	женщина-NOM.SG дрожать-PRS.3SG PREP холод-GEN.SG	Женщина дрожит от холода.	
10	Belarusian	19	main	ad_GEN	dzic-ja zaplaka-l-a ad strax-u	child-NOM.SG cry-PST-SG.N PREP fear-GEN.SG	The child began to cry out of fear.	ребенок-NOM.SG заплакать-PST-SG.N PREP  страх-GEN.SG	Ребенок заплакал от страха.	
10	Belarusian	20	main	ad_GEN	dzic-ja zasmjaja-l-a-sja ad radasc-i	child-NOM.SG laugh-PST-SG.N-REFL PREP joy-GEN.SG	The child laughed out of joy.	ребенок-NOM.SG рассмеяться-PST-SG.N-REFL PREP радость-GEN.SG	Ребенок засмеялся от радости.	
10	Belarusian	21	main	ad_GEN	dzic-ja ad strax-u sxava-l-a-sja ŭ xljav-e	child-NOM.SG PREP fear-GEN.SG hide-PST-SG.N-REFL PREP barn-LOC.SG	The child hid in the barn out of fear.	ребенок-NOM.SG PREP страх-GEN.SG спрятаться-PST-SG.N-REFL PREP сарай-LOC.SG	Ребенок от страха спрятался в сарае.	
10	Belarusian	21	alternate	z_GEN	dzic-ja sa strax-u sxava-l-a-sja ŭ xljav-e	child-NOM.SG PREP fear-GEN.SG hide-PST-SG.N-REFL PREP barn-LOC.SG	The child hid in the barn out of fear.	ребенок-NOM.SG PREP страх-GEN.SG спрятаться-PST-SG.N-REFL PREP сарай-LOC.SG	Ребенок от страха спрятался в сарае.	
10	Belarusian	22	main	praz_ACC	mužčyn-a praz sciplasc' pramaŭča-ŭ	man-NOM.SG PREP modesty[ACC.SG] keep_quiet-PST[SG.M]	The man kept silent because of modesty.	мужчина-NOM.SG PREP скромность[ACC.SG] промолчать-PST[SG.M]	Мужчина промолчал по скромности.	
10	Belarusian	22	alternate	z-za_GEN	mužčyn-a z-za sciplasc-i pramaŭča-ŭ	man-NOM.SG PREP modesty-GEN.SG keep_quiet-PST[SG.M]	The man kept silent because of modesty.	мужчина-NOM.SG PREP скромность-GEN.SG промолчать-PST[SG.M]	Мужчина промолчал по скромности.	
10	Belarusian	23	main	u_LOC	žančyn-a ŭ strax-u sxapi-l-a brat-a za ruk-u	woman-NOM.SG PREP fear-LOC.SG grab-PST-SG.F brother-ACC.SG PREP hand-ACC.SG	The woman grabbed her brother’s hand in fear.	женщина-NOM.SG PREP страх-LOC.SG схватить-PST-SG.F брат-ACC.SG  PREP рука-ACC.SG	Женщина в страхе схватила руку брата.	
10	Belarusian	23	alternate	z-za_GEN	žančyn-a z-za strax-u sxapi-l-a brat-a za ruk-u	woman-NOM.SG PREP fear-GEN.SGgrab-PST-SG.F brother-ACC.SG PREP hand-ACC.SG	The woman grabbed her brother’s hand in fear.	женщина-NOM.SG PREP страх-GEN.SG схватить-PST-SG.F брат-ACC.SG  PREP рука-ACC.SG	Женщина в страхе схватила руку брата.	
10	Belarusian	23	alternate	praz_ACC	žančyn-a praz strax sxapi-l-a brat-a za ruk-u	woman-NOM.SG PREP fear[ACC.SG] grab-PST-SG.F brother-ACC.SG PREP hand-ACC.SG	The woman grabbed her brother’s hand in fear.	женщина-NOM.SG PREP страх[ACC.SG] схватить-PST-SG.F брат-ACC.SG  PREP рука-ACC.SG	Женщина в страхе схватила руку брата.	
10	Belarusian	24	main	ad_GEN	žančyn-a stami-l-a-sja ad prac-y	woman-NOM.SG get_tired-PST-SG.F-REFL PREP work-GEN.SG	The woman was tired from work.	женщина-NOM.SG устать-PST-SG.F-REFL PREP работa-GEN.SG	Женщина устала от работы.	
10	Belarusian	25	main	praz_ACC	žančyn-a ne mož-a zasnu-c' praz kamar-oŭ	woman-NOM.SG NEG be_able-PRS.3SG fall_asleep-INF PREP mosquito-ACC.PL	The woman can’t fall asleep because of the mosquitoes.	женщина-NOM.SG NEG мочь-PRS.3SG заснуть-INF PREP комар-ACC.PL	Женщина не смогла заснуть из-за комаров.	
10	Belarusian	25	alternate	z-za_GEN	žančyn-a ne mož-a zasnu-c' z-za kamar-oŭ	woman-NOM.SG NEG be_able-PRS.3SG fall_asleep-INF PREP mosquito-GEN.PL	The woman can’t fall asleep because of the mosquitoes.	женщина-NOM.SG NEG мочь-PRS.3SG заснуть-INF PREP комар-GEN.PL	Женщина не смогла заснуть из-за комаров.	
10	Belarusian	26	main	z-za_GEN	vad-a zda-ecca svetl-aj z-za mesjac-a	water-NOM.SG seem-PRS.3SG light-INS.SG.F PREP moon-GEN.SG	The water looks clear because of the moon.	вода-NOM.SG казаться-PRS.3SG.REFL  светлый-INS.SG.F  PREP луна-GEN.SG	Вода кажется светлой из-за луны.	
10	Belarusian	26	alternate	praz_ACC	vad-a zda-ecca svetl-aj praz mesjac	water-NOM.SG seem-PRS.3SG light-INS.SG.F PREP moon[ACC.SG]	The water looks clear because of the moon.	вода-NOM.SG казаться-PRS.3SG.REFL  светлый-INS.SG.F  PREP луна[ACC.SG]	Вода кажется светлой из-за луны.	
10	Belarusian	27	main	dzjakujucy_DAT	mužčyn-a ŭdala sxadzi-ŭ na paljavann-e dzjakujučy sabak-u	man-NOM.SG successfully go-PST[SG.M] PREP hunt-ACC.SG PREP dog-DAT.SG	The man had a successful hunt because of his dog.	мужчина-NOM.SG удачно сходить-PST[SG.M] PREP охота-ACC.SG PREP собака-DAT.SG	Мужчина удачно сходил на охоту благодаря собаке.	
10	Belarusian	28	main	na_ACC	žonk-a razzlava-l-a-sja na muž-a	wife-NOM.SG get_angry-PST-SG.F-REFL PREP husband-ACC.SG	The wife was angry at her husband.	жена-NOM.SG рассердиться-PST-SG.F-REFL PREP муж-GEN.SG	Женщина разозлилась на мужа.	
10	Belarusian	29	main	praz_ACC	žančyn-a spazni-l-a-sja na prac-u praz muž-a	woman-NOM.SG be_late-PST-SG.F-REFL PREP work-ACC.SG PREP husband-ACC.SG	The woman was late for work because of her husband. 	женщина-NOM.SG опоздать-PST-SG.F-REFL PREP работа-ACC.SG PREP муж-ACC.SG	Женщина опаздала на работу из-за мужа.	
10	Belarusian	30	main	z-za_GEN	ljudz-i zaginu-l-i z-za zemljatras-u	person\PL-NOM.PL die-PST-PL PREP earthquake-GEN.SG 	The people died because of the earthquake. 	человек\PL-NOM.PL погибнуть-PST-PL PREP  землетрясение-GEN.SG	Люди погибли из-за землетрясения.	
10	Belarusian	30	alternate	praz_ACC	ljudz-i zaginu-l-i praz zemljatras	person\PL-NOM.PL die-PST-PL PREP earthquake[ACC.SG]	The people died because of the earthquake. 	человек\PL-NOM.PL погибнуть-PST-PL PREP  землетрясение[ACC.SG]	Люди погибли из-за землетрясения.	
10	Belarusian	31	main	z-za_GEN	us-e bed-y adbyvaj-ucca z-za ljudz-ej	all-NOM.PL trouble-NOM.PL happen-PRS.3SG PREP person\PL-GEN.PL	All trounles happen because of man.	весь-NOM.PL беда-NOM.PL происходить-PRS.3SG.REFL PREP человек-GEN.PL	Все беды происходят из-за человека.	
10	Belarusian	31	alternate	praz_ACC	us-e bed-y adbyvaj-ucca praz ljudz-ej	all-NOM.PL trouble-NOM.PL happen-PRS.3SG PREP person\PL-ACC.PL	All bad things happen because of man.	весь-NOM.PL беда-NOM.PL происходить-PRS.3SG.REFL PREP человек\PL-ACC.PL	Все беды происходят из-за человека.	
10	Belarusian	32	main	dzjakujucy_DAT	mužčyn-a sta-ŭ lepej bačy-c' dzjakujučy aperacy-i	man-NOM.SG become-PST[SG.M] better see-INF PREP surgery-DAT.SG	The man can see better because of the surgery.	мужчина-NOM.SG стать-PST[SG.M] лучше видеть-INF PREP операция-DAT.SG	Мужчина стал лучше видеть из-за операции.	
10	Belarusian	32	alternate	z-za_GEN	mužčyn-a sta-ŭ lepej bačy-c' z-za aperacy-i	man-NOM.SG become-PST[SG.M] better see-INF PREP surgery-GEN.SG	The man can see better because of the surgery.	мужчина-NOM.SG стать-PST[SG.M] лучше видеть-INF PREP операция-GEN.SG	Мужчина стал лучше видеть из-за операции.	
10	Belarusian	32	alternate	praz_ACC	mužčyn-a sta-ŭ lepej bačy-c' praz aperacy-ju	man-NOM.SG become-PST[SG.M] better see-INF PREP surgery-ACC.SG	The man can see better because of the surgery.	мужчина-NOM.SG стать-PST[SG.M] лучше видеть-INF PREP операция-ACC.SG	Мужчина стал лучше видеть из-за операции.	
10	Belarusian	33	main	dzjakujucy_DAT	žančyn-a žyv-aja dzjakujučy gèt-amu mužčyn-e	woman-NOM.SG alive-NOM.SG.F PREP this-DAT.SG.M man-DAT.SG	The woman stay alive because of this man.	женщина-NOM.SG живой-NOM.SG.F PREP этот-DAT.SG.M мужчина-DAT.SG	Женщина осталась жива благодаря этому мужчине.	
10	Belarusian	33	alternate	z-za_GEN	žančyn-a žyv-aja dzjakujučy z-za mužčyn-y	woman-NOM.SG alive-NOM.SG.F PREP man-GEN.SG	The woman stay alive because of a man.	женщина-NOM.SG живой-NOM.SG.F PREP этот-DAT.SG.M мужчина-GEN.SG	Женщина осталась жива из-за мужчины.	
10	Belarusian	33	alternate	praz_ACC	žančyn-a žyv-aja dzjakujučy praz mužčyn-u	woman-NOM.SG alive-NOM.SG.F PREP man-ACC.SG	The woman stay alive because of a man.	женщина-NOM.SG живой-NOM.SG.F PREP этот-DAT.SG.M мужчина-ACC.SG	Женщина осталась жива из-за мужчины.	
10	Belarusian	34	main	pa_DAT	mužčyn-a raskaza-ŭ gèt-a žonc-y pa durasc-i	man-NOM.SG tell-PST[SG.M] this-NOM wife-DAT.SG PREP stupidity-DAT.SG	The man told everything to his neighbor because of stupidity.	мужчина-NOM.SG рассказать-PST[SG.M] это-NOM жена-DAT.SG PREP  глупость-AT.SG	Мужчина обо всем рассказал соседу по глупости.	
10	Belarusian	34	alternate	z-za_GEN	mužčyn-a raskaza-ŭ gèt-a žonc-y z-za durasc-i	man-NOM.SG tell-PST[SG.M] this-NOM wife-DAT.SG PREP stupidity-GEN.SG	The man told everything to his neighbor because of stupidity.	мужчина-NOM.SG рассказать-PST[SG.M] это-NOM жена-DAT.SG PREP  глупость-GEN.SG	Мужчина обо всем рассказал соседу по глупости.	
10	Belarusian	34	alternate	praz_ACC	mužčyn-a raskaza-ŭ gèt-a žonc-y praz durasc'	man-NOM.SG tell-PST[SG.M] this-NOM wife-DAT.SG PREP stupidity[ACC.SG]	The man told everything to his neighbor because of stupidity.	мужчина-NOM.SG рассказать-PST[SG.M] это-NOM жена-DAT.SG PREP  глупость[ACC.SG]	Мужчина обо всем рассказал соседу по глупости.	
10	Belarusian	35	main	pa_DAT	žančyn-a pasliznu-l-a-sja pa neascjapožnasc-i	woman-NOM.SG slip-PST-SG.F-REFL PREP negligence-DAT.SG	The woman slipped because of the lack of attention.	женщина-NOM.SG поскользнуться-PST-SG.F-REFL PREP неосторожность-DAT.SG	Женщина поскользнулась по неосторожности.	
10	Belarusian	35	alternate	z-za_GEN	žančyn-a pasliznu-l-a-sja z-za neascjapožnasc-i	woman-NOM.SG slip-PST-SG.F-REFL PREP negligence-GEN.SG	The woman slipped because of the lack of attention.	женщина-NOM.SG поскользнуться-PST-SG.F-REFL PREP неосторожность-GEN.SG	Женщина поскользнулась по неосторожности.	
10	Belarusian	35	alternate	praz_ACC	žančyn-a pasliznu-l-a-sja praz neascjapožnasc'	woman-NOM.SG slip-PST-SG.F-REFL PREP negligence[ACC.SG]	The woman slipped because of the lack of attention.	женщина-NOM.SG поскользнуться-PST-SG.F-REFL PREP неосторожность[ACC.SG]	Женщина поскользнулась по неосторожности.	
10	Belarusian	36	main	dzjakujucy_DAT	pilot zdole-ŭ pasadzi-c' samalёt dzjakujučy valik-amu vopyt-u	pilot-NOM.SG manage-PST[SG.M] land-INF aircraft-ACC.SG PREP big-DAT.SG.M experience-DAT.SG	The man landed the plane thanks to the big experience.	пілот-NOM.SG удаться-PST[SG.M] посадить-INF самолет-ACC.SG PREP большой-DAT.SG.M опыт-DAT.SG	Мужчина посадил самолет благодаря большому опыту.	
10	Belarusian	36	alternate	z-za_GEN	pilot zdole-ŭ pasadzi-c' samalёt z-za valik-aga vopyt-u	pilot-NOM.SG manage-PST[SG.M] land-INF aircraft-ACC.SG PREP big-N.SG.M experience-GEN.SG	The man landed the plane thanks to the big experience.	пилот-NOM.SG удаться-PST[SG.M] посадить-INF самолет-ACC.SG PREP большой-GEN.SG.M опыт-GEN.SG	Мужчина посадил самолет благодаря большому опыту.	
10	Belarusian	36	alternate	praz_ACC	pilot zdole-ŭ pasadzi-c' samalёt praz valiki vopyt	pilot-NOM.SG manage-PST[SG.M] land-INF aircraft-ACC.SG PREP big-ACC.SG.M experience[ACC.SG]	The man landed the plane thanks to the big experience.	пилот-NOM.SG удаться-PST[SG.M] посадить-INF самолет-ACC.SG PREP большой-ACC.SG.M опыт-[ACC.SG]	Мужчина посадил самолет благодаря большому опыту.	
10	Belarusian	37	main	z-za_GEN	pilot ne zmog pasadzic' samalёt z-za nespraktykavabasc-i	pilot-NOM.SG NEG be_able[PST.SG.M] land-INF aircraft-ACC.SG PREP inexperience-GEN.SG	The man landed the plane thanks to the big experience.	пилот-NOM.SG NEG смочь[PST.SG.M] посадить-INF самолет-ACC.SG PREP неопытность-GEN.SG	Мужчина не смог посадить самолет по неопытности.	
10	Belarusian	37	alternate	praz_ACC	pilot ne zmog pasadzic' samalёt praz nespraktykavabasc'	pilot-NOM.SG NEG be_able[PST.SG.M] land-INF aircraft-ACC.SG PREP inexperience[ACC.SG]	The man did not land the plane because of inexperience.	пилот-NOM.SG NEG смочь[PST.SG.M] посадить-INF самолет-ACC.SG PREP неопытность[ACC.SG]	Мужчина не смог посадить самолет по неопытности.	
10	Belarusian	38	main	z_GEN	podčas vajn-y ljudz-i z golad-u e-l-i trav-u	during war-GEN.SG  man-NOM.PL PREP hunger-GEN.SG eat-PST-PL grass-ACC.SG	In wartime, people ate grass out of hunger.	в_течение война-GEN.SG  человек-NOM.PL PREP голод-GEN.SG есть-PST-PL травa-ACC.SG	Во время войны люди с голоду ели траву.	
10	Belarusian	39	main	z_GEN	žančyn-a zajš-l-a ŭnutr z cikaŭnasc-i	woman-NOM.SG enter-PST-SG.F inside PREP curiosity-GEN.SG	The woman went inside out of curiosity.	женщина-NOM.SG зайти-PST-SG.F внутрь PREP любопытство-GEN.SG	Женщина вошла внутрь из любопытства.	
10	Belarusian	39	alternate	z-za_GEN	žančyn-a zajš-l-a ŭnutr z-za cikaŭnasc-i	woman-NOM.SG enter-PST-SG.F inside PREP curiosity-GEN.SG	The woman went inside out of curiosity.	женщина-NOM.SG зайти-PST-SG.F внутрь PREP любопытство-GEN.SG	Женщина вошла внутрь из любопытства.	
10	Belarusian	39	alternate	praz_ACC	žančyn-a zajš-l-a ŭnutr praz cikaŭnasc'	woman-NOM.SG enter-PST-SG.F inside PREP curiosity[ACC.SG]	The woman went inside out of curiosity.	женщина-NOM.SG зайти-PST-SG.F внутрь PREP любопытство[ACC.SG]	Женщина вошла внутрь из любопытства.	
10	Belarusian	40	main	z_GEN	mužčyn-a zabi-ŭ žonk-u z rèŭnasc-i	man-NOM.SG kill-PST[SG.M] wife-ACC.SG PREP jealousy-GEN.SG	The man killed his wife out of jealousy.	мужчина-NOM.SG убить-PST[SG.M] жена-ACC.SG PREP ревность-GEN.SG	Мужчина убил жену из ревности.	
10	Belarusian	40	alternate	ad_GEN	mužčyn-a zabi-ŭ žonk-u ad rèŭnasc-i	man-NOM.SG kill-PST[SG.M] wife-ACC.SG PREP jealousy-GEN.SG	The man killed his wife out of jealousy.	мужчина-NOM.SG убить-PST[SG.M] жена-ACC.SG PREP ревность-GEN.SG	Мужчина убил жену из ревности.	
10	Belarusian	41	main	z_GEN	mužčyn-a ŭs-im pra gèt-a raskaza-ŭ z ganarystasc-i	man-NOM.SG all-DAT.PL PREP this-NOM tell-PST[SG.M] PREP vanity-GEN.SG	The man told this to everyone out of vanity.	мужчина-NOM.SG все-DAT.PL PREP это-NOM рассказать-PST[SG.M] PREP тщеславие-GEN.SG	Мужчина всем об этом рассказал из тщеславие.	
10	Belarusian	41	alternate	z-za_GEN	mužčyn-a ŭs-im pra gèt-a raskaza-ŭ z-za ganarystasc-i	man-NOM.SG all-DAT.PL PREP this-NOM tell-PST[SG.M] PREP vanity-GEN.SG	The man told this to everyone out of vanity.	мужчина-NOM.SG все-DAT.PL PREP это-NOM рассказать-PST[SG.M] PREP тщеславие-GEN.SG	Мужчина всем об этом рассказал из тщеславие.	
10	Belarusian	41	alternate	praz_ACC	mužčyn-a ŭs-im pra gèt-a raskaza-ŭ praz ganarystasc'	man-NOM.SG all-DAT.PL PREP this-NOM tell-PST[SG.M] PREP vanity[ACC.SG]	The man told this to everyone out of vanity.	мужчина-NOM.SG все-DAT.PL PREP это-NOM рассказать-PST[SG.M] PREP тщеславие[ACC.SG]	Мужчина всем об этом рассказал из тщеславие.	
10	Belarusian	42	main	ad_GEN	žančyn-a pabi-l-a ŭves' posud ad zlosc-i	woman-NOM.SG break-PST-SG.F  all[NOM.SG.M] dishes-ACC.SG PREP angry-GEN.SG	The woman broke all the dishes out of anger.	женщина-NOM.SG разбить-PST-SG.F  весь[NOM.SG.M] посуда-ACC.SG PREP  злость-GEN.SG	Женщина из злости разбила всю посуду.	
10	Belarusian	43	main	praz_ACC	žančyn-a ljag-l-a spa-c' apranut-aj praz xolad	woman-NOM.SG lay-PST-SG.F sleep-INF dressed.INS.SG.F PREP cold[ACC.SG]	The woman went to sleep clothed because of the cold, .	женщина-NOM.SG лечь-PST-SG.F спать-INF одетый.INS.SG.F PREP холод[ACC.SG]	Женщина легла спасть одетой из-за холода.	
10	Belarusian	44	main	za_ACC	nastaŭnik paxvali-ŭ vučn-ja za jagon-y kascjum	teacher[NOM.SG] praise -PST[SG.M] student-ACC.SG PREP his-NOM.SG.M clothes[ACC.SG]	The teacher commended the student for his clothes.	учитель[NOM.SG] похвалить-PST[SG.M] ученик-ACC.SG PREP его-NOM.SG.M  костюм[ACC.SG]	Учитель похвалил ученика за его костюм.	
10	Belarusian	45	main	za_ACC	mužčyn-a pabi-ŭ sused-a za jagon-yja slov-a	man-NOM.SG kill-PST[SG.M] neighbour-ACC.SG PREP his-ACC.PL word-ACC.PL	The man beat his neighbor because of his words.	мужчина-NOM.SG побить-PST[SG.M] сосед-ACC.SG PREP его-ACC.PL слово-ACC.PL	Мужчина побил соседа за его слова.	
10	Belarusian	46	main	z-za_GEN	dzec-i pabi-l-i-sja z-za mjač-a	child-NOM.PL fight-PST-PL-REFL PREP ball-GEN.SG	The children fought over the ball.	ребенок-NOM.PL подраться-PST-PL-REFL PREP мяч-GEN.SG	Дети подрались из-за мяча.	
10	Belarusian	46	alternate	praz_ACC	dzec-i pabi-l-i-sja praz mjač	child-NOM.PL fight-PST-PL-REFL PREP ball[ACC.SG]	The children fought over the ball.	ребенок-NOM.PL подраться-PST-PL-REFL PREP мяч[ACC.SG]	Дети подрались из-за мяча.	
10	Belarusian	47	main	praz_ACC	mužčyn-a pasvary-ŭ-sja z brat-am praz spadčyn-u	man-NOM.SG quarrel-PST[SG.M]-REFL PREP brother-INS.SG PREP heritage-ACC.SG	The man argued with his brother over the heritage.	мужчина-NOM.SG поссориться-PST[SG.M]-REFL PREP брат-INS.SG PREP наследство-ACC.SG	Мужчина поссорился с братом из-за наследства.	
