language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
41	Filipino	9	alternate	sa	S<um>akít ang=úlo=ng laláki sa serbésa.	<AV.PFV>pain NOM=head=GEN man OBL beer	The man has a headache from the beer.				
41	Filipino	10	main	sa	Na-tawá ang=babáe sa túta.	PFV.MOD.EV-laugh NOM=woman OBL puppy	The woman laughed at the puppy.				
41	Filipino	11	main	dahil_sa	Na-matáy ang=laláki dáhil sa nakakaláso-ng isdâ.	PFV.MOD.EV-die NOM=man because OBL poisonous-LK fish	The man died from a poisonous fish.				
41	Filipino	12	main	sa	Na-si~siyá ang=dalága sa kaniyá-ng grádo. 	MOD.EV-IPFV~satisfied NOM=girl OBL 3SG.GEN-LK grade	The girl is satisfied with her grade.				
41	Filipino	13	main	sa	Na-gálit ang=mísis sa s<in>ábi=ng míster=niyá.	PFV.MOD.EV-anger NOM=wife OBL <PV.PFV>say=GEN husband=3SG.GEN	The wife was angered by [what] her husband said.				Sinabi ng mister niya «сказанное ее мужем» - такую конструкцию можно рассматривать как номинализованную. Она может быть и подлежащим: "Сказанное ее мужем болезненно для нее."
41	Filipino	13	alternate	n.a.	Ik<in>a-gálit=ng mísis ang=s<in>ábi=ng míster=niyá.	CAUSALV<PV.PFV>-anger=GEN wife NOM=<PV.PFV>say=GEN husband=3SG.GEN	The wife got angry at [what] her husband said.			This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	"Каузальный залог с ika- употребляется только в конструкциях этого типа (при этом только с основами, выражающими эмоции и ощущения): испытывающий эмоцию \ощущение стоит в генитиве при глаголе с префиксальным комплексом ika-, а в позицию топика продвигается то, что стало причиной этих ощущений."
41	Filipino	14	main	sa	Na-sabík ang=báta-ng laláki sa idéya-ng itó.	PFV.MOD.EV-excite NOM=child-LK man OBL idea-LK PROX	The boy was thrilled by this idea.				
41	Filipino	14	alternate	n.a.	Ik<in>a-sábik=ng báta-ng laláki ang=idéya-ng itó.	CAUSALV<PV.PFV>-excite=GEN child-LK man NOM=idea-LK PROX	The boy was excited with this idea.			This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	"Каузальный залог с ika- употребляется только в конструкциях этого типа (при этом только с основами, выражающими эмоции и ощущения): испытывающий эмоцию \ощущение стоит в генитиве при глаголе с префиксальным комплексом ika-, а в позицию топика продвигается то, что стало причиной этих ощущений."
41	Filipino	15	alternate	dahil_sa	Nang-hínaˀ ang=laláki dáhil sa gútom.	AV.PFV-weak NOM=man because OBL hunger	The man got weakened because of hunger.				
41	Filipino	15	main	sa	Nang-hínaˀ sa gútom ang=laláki.	AV.PFV-weak OBL hunger NOM=man	The man got weakened out of hunger.				
41	Filipino	16	alternate	dahil_sa	Na-matáy ang=laláki dáhil sa matindí-ng gútom.	PFV.MOD.EV-die NOM=man because OBL intense-LK hunger	The man died because of intense hunger.				
41	Filipino	16	main	sa	Na-matáy sa gútom ang=laláki.	PFV.MOD.EV-die OBL hunger NOM=man	The man died of hunger.				
41	Filipino	17	main	dahil_sa	S<um>i~sigáw ang=laláki dáhil sa sakít.	<AV>IPFV~scream NOM=man because OBL pain	The man is screaming because of the pain.				
41	Filipino	17	alternate	sa	S<um>i~sigáw sa sakít ang=laláki.	<AV>IPFV~scream OBL pain NOM=man 	The man is screaming from the pain.				
41	Filipino	18	main	dahil_sa	Nangi~nginíg ang=babáe dáhil sa lamíg.	AV.IPFV~shiver NOM=woman because OBL cold	The woman is shivering because of the cold.				
41	Filipino	18	alternate	sa	Nanga~ngatóg sa gínaw ang=babáe.	AV.IPFV~shiver OBL cold NOM=woman 	The woman is shivering from the cold.				
41	Filipino	19	main	dahil_sa	Um-iyák ang=bátaˀ dáhil sa tákot.	AV.PFV-cry NOM=child because OBL fear	The child began to cry out of fear.				
41	Filipino	19	alternate	sa	Um-iyák sa tákot ang=bátaˀ.	AV.PFV-cry OBL fear NOM=child	The child began to cry with fear.				
41	Filipino	20	main	dahil_sa	T<um>áwaˀ ang=bátaˀ dáhil sa sayá.	<AV.PFV>laugh NOM=child because OBL joy	The child laughed because of joy.				
41	Filipino	21	main	dahil_sa	Nag-tágoˀ sa kamálig ang=bátaˀ dáhil sa tákot.	AV.PFV-hide OBL barn NOM=child because OBL fear	The child hid in the barn out of fear.				
41	Filipino	22	main	dahil_sa	Nan-[s]atíli-ng tahímik ang=laláki dáhil sa pangingimíˀ.	AV.PFV-stay-LK calm NOM=man because OBL modesty	The man kept silent out of modesty.				
41	Filipino	23	main	dahil_sa	H<in>awák-an=ng babáe ang=kamáy=ng kanyá-ng kapatíd dáhil sa tákot.	<PV.PFV>seize-LV=GEN woman NOM=hand=GEN 3SG.GEN-LK sibling because OBL fear	The woman grabbed her brother’s hand because of fear.				
41	Filipino	24	main	sa	Na-págod ang=babáe sa trabáho.	PFV.MOD.EV-tired NOM=woman OBL work	The woman is tired from work.				
41	Filipino	25	main	dahil_sa	Hindíˀ maka-túlog ang=babáe dáhil sa mga=lamók.	NEG AV.NEUT.MOD-sleep NOM=woman because OBL PL=mosquito	The woman cannot fall asleep because of the mosquitoes.				
41	Filipino	26	main	dahil_sa	Maliwánag ang=túbig dáhil sa buwán.	bright NOM=water because OBL moon 	The water looks bright because of the moon.				
41	Filipino	27	main	dahil_sa	Dáhil sa áso, nag-tagumpáy ang=laláki sa pangangáso=niyá.	because OBL dog AV.PFV-victory NOM=man OBL hunt=3SG.GEN	Thanks to the dog, the man had a successful hunt.				
41	Filipino	28	main	sa	Na-gálit ang=babáe sa asáwa=niyá.	PFV.MOD.EV-anger NOM=woman OBL spouse=3SG.GEN	The wife was angry at her husband.				
41	Filipino	29	main	dahil_sa	Na-hulí sa trabáho ang=babáe dáhil sa kanyá-ng asáwa.	PFV.MOD.EV-late OBL work NOM=woman because OBL 3SG.GEN-LK spouse	The woman was late for work because of her spouse.				
41	Filipino	30	main	dahil_sa	Na-matáy ang=mga=táo dáhil sa lindól.	PFV.MOD.EV-die NOM=PL=person because OBL earthquake	The people died because of the earthquake. 				
41	Filipino	31	main	dahil_sa	Ang=lahát=ng kamalásan ay dáhil sa táo.	NOM=all=GEN misfortune TOP because OBL person	All misfortunes happen because of people.				
41	Filipino	32	main	dahil_sa	Mas naka~ka-kíta nang=maáyos ang=laláki dáhil sa operasyón.	DEG.COMP AV.MOD~IPFV-see LK=orderly NOM=man because OBL surgery	The man can see better now thanks to the operation.				
41	Filipino	33	main	dahil_sa	Buháy ang=babáe dáhil sa laláki.	alive NOM=woman because OBL man	The woman is alive thanks to that man.				
41	Filipino	34	main	dulot_ng	S<in>ábi itó=ng míster sa mísis=niyá dúlot=ng katangáhan.	<PV.PFV>say PROX=GEN husband OBL wife=3SG.GEN offering=GEN stupidity	The man told his wife about it out of stupidity.				букв. приблизительно «Мяч стал тем, о чем поссорились дети».
41	Filipino	35	main	dahil_sa	Na-dulás ang=babáe dáhil sa kapabayáan.	PFV.MOD.EV-slip NOM=woman because OBL carelessness	The woman slipped because of carelessness.				
41	Filipino	36	main	dahil_sa	Nai-lapág nang=maáyos=ng pilóto ang=eropláno, dáhil sa karanásan=niyá.	PV.PFV.MOD-placing_down LK=orderly=GEN pilot NOM=airplane because OBL experience=3SG.GEN	The pilot was able to land the plane thanks to his experience.				
41	Filipino	37	main	dahil_sa	Hindíˀ nai-lapág=ng pilóto ang=eropláno dáhil sa kawalán=niyá=ng karanásan.	NEG PV.PFV.MOD-placing_down=GEN pilot NOM=airplane because OBL absence=3SG.GEN=GEN experience	The pilot could not land the plane due to the lack of experience.				клаузальное
41	Filipino	38	main	dahil_sa	Noó-ng digmáan, k<um>áin=ng damó ang=mga=táo dáhil sa gútom.	DIST.GEN-LK war <AV.PFV>eat=GEN grass NOM=PL=person because OBL hunger	In wartime, people ate grass out of hunger.				
41	Filipino	39	main	dahil_sa	P<um>ások ang=babáe dáhil sa pangungusísaˀ.	<AV.PFV>enter NOM=woman because OBL curiosity	The woman went inside out of curiosity.				
41	Filipino	40	alternate	gawa_ng	P<in>atáy=ng míster ang=mísis=niyá gawáˀ=ng sélos.	<PV.PFV>kill=GEN husband NOM=wife=3SG.GEN deed=GEN jealousy	The man killed his wife due to jealousy.				
41	Filipino	40	main	dahil_sa	P<in>atáy=ng laláki ang=kaniyá-ng asáwa dáhil sa sélos.	<PV.PFV>kill=GEN man NOM=3SG.GEN-LK spouse because OBL jealousy	The man killed his wife out of jealousy.				
41	Filipino	41	alternate	dulot_ng	S<in>ábi=ng laláki sa lahát ang=tungkól díto dúlot=ng kayabángan.	<PV.PFV>say=GEN man OBL all NOM=about PROX.LOC offering=GEN arrogance	The man told everyone about it out of arrogance.				
41	Filipino	41	main	dahil_sa	Ik<in>uwénto itó=ng laláki sa lahát dáhil sa kayabángan.	EV<PV.PFV>story PROX=GEN man OBL all because OBL arrogance	The man told everyone about it out of arrogance.				
41	Filipino	42	main	dahil_sa	B<in>aság=ng babáe ang=lahát=na pláto dáhil sa gálit.	<PV.PFV>break=GEN woman NOM=all=LK dish because OBL anger	The woman broke all the dishes out of anger.				
41	Filipino	43	main	dahil_sa	Na-túlog ng=may damít ang=babáe dáhil sa lamíg.	PFV.MOD.EV-sleep LK=EXIST cloth NOM=woman because OBL cold	The woman went to sleep clothed because of the cold. 				
41	Filipino	44	main	dahil_sa	P<in>úri=ng gúroˀ ang=estudyánte dáhil sa kanyá-ng suót.	<PV.PFV>praise=GEN teacher NOM=student because OBL 3SG.GEN-LK suit	The teacher commended the student because of his suit.				
41	Filipino	45	main	dahil_sa	P<in>atáy=ng laláki ang=kapitbáhay=niyá dáhil sa mga=s<in>ábi=nitó.	<PV.PFV>kill=GEN man NOM=neighbour=3SG.GEN because OBL PL=<PV.PFV>say=PROX.GEN	The man killed his neighbor because of what his said.				
41	Filipino	46	main	dahil_sa	Nag-áway ang=mga=bátaˀ dáhil sa bóla.	AV.PFV-quarrel NOM=PL=child because OBL ball	The children quarrelled because of the ball.				
41	Filipino	46	alternate	n.a.	P<in>ag-awáy-an=ng mga=bátaˀ ang=bóla.	PV<PFV>-quarrel-RECP=GEN PL=child NOM=ball	The children quarrelled about the ball.			This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	"Это экспериенцерный вид глагола, с помощью префиксального комплекса I- + ka- выражается то, что экспериенцер ощущает или переживает то, что указано в основе. В подлежащем будет то, что стало причиной/каузатором этого ощущения."
41	Filipino	47	main	dahil_sa	Nag-áway ang=laláki sa kapatíd=niyá dáhil sa mána.	AV.PFV-quarrel NOM=man OBL sibling=3SG.GEN because OBL inheritance	The man argued with his brother because of the inheritance.				
41	Filipino	48	main	dahil_sa	B<in>ilí=ng babáe ang=libró dáhil sa mga=laráwan.	<PV.PFV>buy=GEN woman NOM=book because OBL PL=picture	The woman bought the book because of the pictures.				
41	Filipino	49	main	n.a.	K<in>ánsel=ng babáe ang=mga=pláno kasáma=ng kaibigan=niyá dáhil pángit ang=mood=niyá.	<PV.PFV>cancel=GEN woman NOM=PL=plan together=GEN friend=3SG.GEN because nasty NOM=mood=3SG.GEN	The woman canceled plans with her friend, because her mood was nasty.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
41	Filipino	50	main	n.a.	Um-ulán=yátaˀ kagabí kasí may ludlód.	AV.PFV-rain=UNC yesterday because EXIST puddle	Apparently it rained last night, because there are puddles.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
41	Filipino	51	main	n.a.	Dáhil may bulá [na], k<um>u~kulóˀ ang=túbig.	because EXIST foam already, <AV>IPFV~boil NOM=water	Since there is foam [already], the water is boiling.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
41	Filipino	52	main	n.a.	Tulóy kayó sa báhay at malamíg.	IMP[continue] 2PL OBL house and cold	Come into the house, as it is cold.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
41	Filipino	53	main	n.a.	Nasaán ang=panggináw=ko at malamíg?	where NOM=sweater=1SG.GEN and cold	Where is my sweater, as it is cold.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	"Близка к русскому «а то» (в значении потому что): входи, а то холодно".
41	Filipino	54	main	ayon_sa	Ayon sa mathematical law, ang=número-ng itó ay di=maári-ng magíng mas mabábaˀ sa isá.	according OBL mathematical law NOM=number-LK PROX TOP NEG=able-LK AV.NEUT[become] DEG.COMP low OBL one	According to the mathematical law, this number cannot become less than one.				
